Name,Link,Iframe,Folder
Reggaeton,https://open.spotify.com/playlist/6n0hlWQZ7tbQy0fxk49zLM?si=ab92087befef46c5,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6n0hlWQZ7tbQy0fxk49zLM?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",deluxe
Electronic,https://open.spotify.com/playlist/6FrBjEum4h9GXvoYH9wB9F?si=0a3618eba068414e,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6FrBjEum4h9GXvoYH9wB9F?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",deluxe
LatinoAmérica,https://open.spotify.com/playlist/2E0lMg3elSyeC9d3T695Z0?si=65d205db25ae4d56,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2E0lMg3elSyeC9d3T695Z0?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",deluxe
African,https://open.spotify.com/playlist/54LBD21xqvP5n9jvTXxcGI?si=0b22ccc15d7340b4,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/54LBD21xqvP5n9jvTXxcGI?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",deluxe
Foreign Trap & Rap,https://open.spotify.com/playlist/7J1o51TZ7c99hnUwsqrFZ4?si=c4a70b4e36634604,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/7J1o51TZ7c99hnUwsqrFZ4?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
Foreign Rap,https://open.spotify.com/playlist/2NyO1TsBesB78woyNShAuV?si=9b0b5751b8b64330,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2NyO1TsBesB78woyNShAuV?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
Rap Caviar,https://open.spotify.com/playlist/32eD3LI5O8TWJ86VZURoqd?si=3d0402585728490b,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/32eD3LI5O8TWJ86VZURoqd?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
Italian Rap,https://open.spotify.com/playlist/3iMhB3yqeSdvprfzN9OYIx?si=b17bf957c3bf41d0,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/3iMhB3yqeSdvprfzN9OYIx?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
Brazilian Rap,https://open.spotify.com/playlist/3J7LXaO3PfdAvS6XxnQ8fF?si=69fce9d77889411f,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/3J7LXaO3PfdAvS6XxnQ8fF?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
Euro Drill,https://open.spotify.com/playlist/1rBQKIl8uibJm56iFJHpqN?si=6ec9775abd434597,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1rBQKIl8uibJm56iFJHpqN?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",foreign
